audit_id,source_independence,relationship,classification,error_stage,document_a,document_b,fact_a_summary,fact_b_summary,reason
CONTRA-CROSS-01,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 242  (Q4 FY23, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-02,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 183  (Q3 FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-03,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 200  (Q4 FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-04,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 831  (FY23, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-05,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 722  (FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-06,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 240.01  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 242  (Q4 FY23, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-07,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 240.01  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 183  (Q3 FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-08,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 240.01  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 200  (Q4 FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-09,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 240.01  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 831  (FY23, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-CROSS-10,cross_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> depreciation_and_amortisation_expense = 240.01  (unknown, default-scope)","Company -> depreciation_and_amortisation_expense = 722  (FY24, default-scope)",Temporal & Scope divergence: Fact A from Doc 1 represents FY21 / 9M FY22 acquisition adjustments where period and scope were lost as 'unknown' in table extraction. Fact B from Doc 3 represents FY23/FY24 quarterly/annual depreciation. They describe different periods and scopes.
CONTRA-SAME-01,same_document,CONTRADICTS,EXTRACTION_ERROR,Fact Extraction (Module 2 Table Extractor),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> 1 = 43.31  (March 31, 2021, default-scope)","Company -> 1 = 5.79  (March 31, 2021, default-scope)","Column/footnote number '1' in table was incorrectly treated as metric predicate. Completely different row metrics (e.g. Table [Headers: ['S. No.', 'Name of the  vs Table [Headers: ['S. No.', 'Name of the ) were falsely paired."
CONTRA-SAME-02,same_document,CONTRADICTS,EXTRACTION_ERROR,Fact Extraction (Module 2 Table Extractor),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> 2 = 381.21  (December 31, 2021, default-scope)","Company -> 2 = 3.02  (December 31, 2021, default-scope)","Column/footnote number '2' in table was incorrectly treated as metric predicate. Completely different row metrics (e.g. Table [Headers: ['S. No.', 'Name of the  vs Table [Headers: ['S. No.', 'Name of the ) were falsely paired."
CONTRA-SAME-03,same_document,CONTRADICTS,EXTRACTION_ERROR,Fact Extraction (Module 2 Table Extractor),03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> of_revenue = 34.5 % (Q4 FY22, default-scope)","Company -> of_revenue = 20.2 % (Q4 FY22, default-scope)",Header fragment 'of_revenue' was extracted as metric predicate across multiple rows of a financial table. Different expense/revenue line items were falsely collapsed into identical claim candidates.
CONTRA-SAME-04,same_document,CONTRADICTS,EXTRACTION_ERROR,Fact Extraction (Module 2 Table Extractor),03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> as_of_end_of_for_the_period_q4_fy23 = 18540  (unknown, default-scope)","Company -> as_of_end_of_for_the_period_q4_fy23 = 27253  (unknown, default-scope)",Header fragment 'as_of_end_of_for_the_period_q4_fy23' was extracted as metric predicate across multiple rows of a financial table. Different expense/revenue line items were falsely collapsed into identical claim candidates.
CONTRA-SAME-05,same_document,CONTRADICTS,EXTRACTION_ERROR,Fact Extraction (Module 2 Table Extractor),03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> fy24 = 5971  (unknown, default-scope)","Company -> fy24 = 2684  (unknown, default-scope)",Header fragment 'fy24' was extracted as metric predicate across multiple rows of a financial table. Different expense/revenue line items were falsely collapsed into identical claim candidates.
CONTRA-SAME-06,same_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"which we -> acquired = 202  (December 31, 2020, default-scope)","which we -> acquired = 1  (December 31, 2020, default-scope)","Facts describe different acquisitions or different entities acquired, but entity name was omitted from predicate."
CONTRA-SAME-07,same_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> depreciation_and_amortisation_expense = 3881.75  (December 31, 2021, default-scope)","Company -> depreciation_and_amortisation_expense = 1320.19  (unknown, default-scope)",Restated Consolidated vs Proforma Consolidated vs Adjustments columns in the same table were extracted without scope distinction.
CONTRA-SAME-08,same_document,CONTRADICTS,CONTEXTUALLY_DIFFERENT,Fact Extraction (Module 2),03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> employee_benefit_expense_excl_share_based_payments = 0.8 % (unknown, default-scope)","Company -> employee_benefit_expense_excl_share_based_payments = 8.4 % (unknown, default-scope)",Different quarterly percentages in the same presentation table (QoQ% vs YoY%) where quarterly labels were omitted.
CONTRA-SAME-09,same_document,CONTRADICTS,GENUINE_CONTRADICTION,None (Correct Reasoning),doc-disagree,doc-disagree,"Company -> revenue = 100 ₹ (unknown, default-scope)","Company -> revenue = 120 ₹ (unknown, default-scope)",Synthetic fixture designed specifically to test internal document conflict.
CONTRA-SAME-10,same_document,CONTRADICTS,GENUINE_CONTRADICTION,None (Correct Reasoning),doc-pages,doc-pages,"Company -> revenue = 50 ₹ (2022, default-scope)","Company -> revenue = 202  (2022, default-scope)",Synthetic fixture designed specifically to test internal document conflict.
CORR-01,same_document,CORROBORATES,GENUINE_CORROBORATION,None (Valid Corroboration),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> ii_income_tax_relating_to_items_that_will_not_be_reclassified_to_profit_and_loss = 1.38  (August 24, 2021, default-scope)","Company -> ii_income_tax_relating_to_items_that_will_not_be_reclassified_to_profit_and_loss = 1.38  (unknown, default-scope)",Identical financial statement item reported with matching value and matching context.
CORR-02,same_document,CORROBORATES,GENUINE_CORROBORATION,None (Valid Corroboration),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 202  (December 31, 2021, default-scope)","We -> acquired = 202  (as of December 31, 2021, default-scope)","Genuine repeated statement across pages 48 and 55 confirming acquisitions as of Dec 31, 2021."
CORR-03,same_document,CORROBORATES,GENUINE_CORROBORATION,None (Valid Corroboration),01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 1  (December 31, 2021, default-scope)","We -> acquired = 1  (as of December 31, 2021, default-scope)","Genuine repeated statement across pages 48 and 55 confirming acquisitions as of Dec 31, 2021."
RECON-01,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> employee_benefit_expense_excl_share_based_payments = 284  (Q4 FY23, default-scope)","Company -> employee_benefit_expense_excl_share_based_payments = 306  (Q3 FY24, default-scope)",The values differ because the facts describe different reporting periods.
RECON-02,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> fy24 = 17  (unknown, default-scope)","Company -> fy24 = 1.2 % (unknown, default-scope)",The figures represent different metric dimensions (absolute figure vs percentage rate).
RECON-03,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> revenue_from_contract_with_customers = 44501.15  (for the year ended March 31, 2021, default-scope)","Company -> revenue_from_contract_with_customers = 48105.3  (2021, default-scope)",The values differ because the facts describe different reporting periods.
RECON-04,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> other_current_assets = 1144.46  (December 31, 2020, default-scope)","Company -> other_current_assets = 1386.38  (March 31, 2021, default-scope)",The values differ because the facts describe different reporting periods.
RECON-05,cross_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> total_income = 29886.29  (March 31, 2020, default-scope)","Company -> total_income = 2325  (Q3 FY24, default-scope)",The values differ because the facts describe different reporting periods.
